date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-12-31,23.361697674418604,0.003315743676728894,19.61,$124,0.16119565217391305
2013-03-31,28.22488333333333,0.0032852797298298392,19.61,$124,0.14366666666666666
2013-06-30,30.462171875,5.3447869519334876e-05,19.61,$124,0.11582417582417584
2013-09-30,29.858890625,2.7055275906196982e-05,19.61,$124,0.08521739130434783
2013-12-31,31.55571875,0.0033749628793213384,22.15,$125,0.08554347826086957
2014-03-31,38.862819672131145,0.0017858797251549654,21.54,$137,0.07222222222222222
2014-06-30,48.007015873015874,0.004595589676511577,26.18,$134,0.09098901098901098
2014-09-30,52.038625,-0.001169630192080046,22.71,$138,0.0891304347826087
2014-12-31,54.408046875,0.004077525781507012,26.42,$384,0.10130434782608697
2015-03-31,65.23154098360655,0.00026425571671391513,25.63,$201,0.11288888888888889
2015-06-30,63.83550793650794,-0.00023053201154023107,23.2,$213,0.1256043956043956
2015-09-30,44.35303125,-0.009051201893719274,12.23,$214,0.13478260869565217
2015-12-31,33.170515625,0.0018097364310216604,18.13,$473,0.16108695652173913
2016-03-31,24.197983606557376,-0.002382450640112398,38.91,$645,0.3597802197802198
2016-06-30,28.799375,0.002433196573649715,0.0,$698,0.36934065934065935
2016-09-30,30.407640625,0.0005140099158876567,0.0,$838,0.39489130434782604
2016-12-31,30.357333333333333,0.0007363039902202954,0.0,$848,0.44815217391304346
2017-03-31,34.949532258064515,0.0009600078829350326,48.04,$886,0.698888888888889
2017-06-30,33.30171428571428,-0.0008697036714247812,25.05,$916,0.9473626373626375
2017-09-30,33.77650793650794,0.0010636345222912096,24.33,$980,1.1536956521739128
2017-12-31,34.2532,0.000447372140568747,21.73,"$1,085",1.2027777777777777
