date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,15.759096774193548,0.009183597380322442,37.47,$870,0.10417582417582417
2012-06-30,11.347533333333333,-0.007614674191466778,35.67,$889,0.1523076923076923
2012-09-30,9.188780952380952,-0.002572429961858587,61.14,$905,0.14434782608695654
2012-12-31,11.176317741935483,0.009621562981833153,318.73,$945,0.16119565217391305
2013-03-31,22.899566666666665,0.01361466436954206,450.67,"$1,024",0.14366666666666666
2013-06-30,29.738078125,0.0024484492052091293,263.83,"$1,069",0.11582417582417584
2013-09-30,38.60875,0.006249577945364878,259.84,"$1,106",0.08521739130434783
2013-12-31,49.06759375,0.0030883190816430907,201.21,"$1,175",0.08554347826086957
2014-03-31,57.26139344262295,-0.00032569608109350083,133.32,"$1,270",0.07222222222222222
2014-06-30,54.11228571428572,0.003913982271076311,133.5,"$1,340",0.09098901098901098
2014-09-30,64.852625,0.0005303327990482058,120.63,"$1,409",0.0891304347826087
2014-12-31,53.690390625,-0.0038360920355116207,79.07,"$1,485",0.10130434782608697
2015-03-31,60.658934426229514,0.003674244948147633,108.51,"$1,573",0.11288888888888889
2015-06-30,83.68223809523809,0.007589974767403303,211.23,"$1,645",0.1256043956043956
2015-09-30,107.385859375,0.0022929244242094957,273.7,"$1,738",0.13478260869565217
2015-12-31,114.263125,0.0019900831971641584,402.32,"$1,823",0.16108695652173913
2016-03-31,98.16163934426228,-0.0013090337914943104,352.52,"$1,958",0.3597802197802198
2016-06-30,96.0671875,-0.0013996255129323804,285.88,"$2,105",0.36934065934065935
2016-09-30,95.45328125,0.0014756655463532171,266.35,"$2,290",0.39489130434782604
2016-12-31,118.51809523809524,0.004014294783715574,294.76,"$2,478",0.44815217391304346
2017-03-31,140.30887096774194,0.002937698119867402,194.49,"$2,637",0.698888888888889
2017-06-30,153.8353968253968,0.0003215123195511827,182.21,"$2,785",0.9473626373626375
2017-09-30,174.3979365079365,0.0033240362276928744,183.18,"$2,985",1.1536956521739128
2017-12-31,194.994,0.0020584446724142796,153.57,"$3,286",1.2027777777777777
