date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,7.296935483870969,0.001568174178836436,0.0,$51,0.10417582417582417
2012-06-30,6.77,-0.0003361758141786983,0.0,$67,0.1523076923076923
2012-09-30,7.657619047619048,0.0013300536074988074,0.0,$75,0.14434782608695654
2012-12-31,6.936451612903226,0.00018824488771704731,0.0,$99,0.16119565217391305
2013-03-31,8.6265,0.005339681234249529,0.0,$75,0.14366666666666666
2013-06-30,10.70390625,0.0034467462295977806,0.0,$84,0.11582417582417584
2013-09-30,11.04203125,-0.002074659499482703,0.0,$89,0.08521739130434783
2013-12-31,11.6240625,0.002532931234633034,601.5,$106,0.08554347826086957
2014-03-31,11.408360655737704,0.0009033056175262769,251.4,$81,0.07222222222222222
2014-06-30,11.65857142857143,-0.002229249710005086,0.0,$90,0.09098901098901098
2014-09-30,10.50046875,-0.001192020875919365,71.29,$107,0.0891304347826087
2014-12-31,10.45640625,0.0018913196172241926,44.2,$107,0.10130434782608697
2015-03-31,9.599016393442623,-0.003412216789821735,35.44,$81,0.11288888888888889
2015-06-30,8.163809523809523,-0.0028715130342672496,32.82,$86,0.1256043956043956
2015-09-30,6.9828125,-0.00256807747687178,0.0,$137,0.13478260869565217
2015-12-31,4.3390625,-0.004631346002429959,0.0,$162,0.16108695652173913
2016-03-31,3.9326229508196717,0.004352316446133358,0.0,$130,0.3597802197802198
2016-06-30,5.22765625,0.0011477182609865109,0.0,$140,0.36934065934065935
2016-09-30,5.9709375,0.004359419947573943,45.67,$164,0.39489130434782604
2016-12-31,8.8915873015873,0.006364581138966587,0.0,$144,0.44815217391304346
2017-03-31,9.452580645161289,-0.0040733110560591795,0.0,$139,0.698888888888889
2017-06-30,7.471746031746032,0.00034487463015847684,0.0,$137,0.9473626373626375
2017-09-30,6.350793650793651,-0.0015141655917587085,0.0,$140,1.1536956521739128
2017-12-31,7.114333333333334,0.005261825383703241,783.0,$162,1.2027777777777777
