date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,16.531532258064516,0.004141634421781631,36.0,$45,0.10417582417582417
2012-06-30,18.804126984126984,0.0005514280310136751,33.3,$47,0.1523076923076923
2012-09-30,16.96047619047619,-0.0005810966554325227,28.59,$48,0.14434782608695654
2012-12-31,16.503354838709676,-0.0013172281230189643,24.26,$50,0.16119565217391305
2013-03-31,18.124666666666666,0.0022833445776198743,29.94,$45,0.14366666666666666
2013-06-30,15.00390625,-0.004326159740733386,23.78,$47,0.11582417582417584
2013-09-30,14.519453125,0.0003313179247249713,30.0,$48,0.08521739130434783
2013-12-31,15.7675,0.004079623538502258,46.1,$53,0.08554347826086957
2014-03-31,17.513934426229508,-0.00012546670596966282,46.53,$51,0.07222222222222222
2014-06-30,16.865873015873014,-0.0006547055620733849,48.2,$53,0.09098901098901098
2014-09-30,16.8840625,0.0007667973242014986,38.39,$57,0.0891304347826087
2014-12-31,19.54109375,0.0036711916800323367,41.55,$61,0.10130434782608697
2015-03-31,21.257213114754098,-0.0005794482668804218,36.05,$57,0.11288888888888889
2015-06-30,23.24952380952381,0.0010699337385707637,34.15,$56,0.1256043956043956
2015-09-30,19.04734375,-0.004640393611035208,33.18,$48,0.13478260869565217
2015-12-31,15.2475,-0.0003761080126088497,39.33,$55,0.16108695652173913
2016-03-31,12.068852459016394,-0.00384883166468585,62.26,$48,0.3597802197802198
2016-06-30,11.2446875,-0.000606410260739456,0.0,$50,0.36934065934065935
2016-09-30,13.0140625,0.003211016432554085,0.0,$47,0.39489130434782604
2016-12-31,13.272539682539682,0.0011110606283311962,0.0,$52,0.44815217391304346
2017-03-31,15.374193548387098,0.001722201260710398,0.0,$49,0.698888888888889
2017-06-30,16.98698412698413,0.0013977047481825216,0.0,$51,0.9473626373626375
2017-09-30,17.36205873015873,-0.0005762868970028282,0.0,$53,1.1536956521739128
2017-12-31,17.801499999999997,0.004720256792187227,0.0,$58,1.2027777777777777
