date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,38.328548387096774,0.00104377640707802,25.16,$120,0.10417582417582417
2012-06-30,38.72174603174603,0.0005121698266154451,33.29,$125,0.1523076923076923
2012-09-30,39.93142857142857,0.001293457155602179,11.15,$129,0.14434782608695654
2012-12-31,43.29322580645161,0.002723264230225723,12.35,$124,0.16119565217391305
2013-03-31,48.72566666666667,-0.0005390931622942445,10.51,$126,0.14366666666666666
2013-06-30,45.60390625,6.913110194375384e-05,10.59,$132,0.11582417582417584
2013-09-30,54.77046875,0.003699433260838013,33.6,$143,0.08521739130434783
2013-12-31,60.230000000000004,0.0006004114508870641,29.01,$136,0.08554347826086957
2014-03-31,60.591147540983606,0.00038312718426303786,24.87,$147,0.07222222222222222
2014-06-30,61.78047619047619,0.0010809549767641395,23.95,$153,0.09098901098901098
2014-09-30,60.45125,-0.0029126228774864673,17.66,$163,0.0891304347826087
2014-12-31,66.70171875,0.00655512987593807,28.78,$148,0.10130434782608697
2015-03-31,78.59409836065574,0.00026095244565346775,29.79,$165,0.11288888888888889
2015-06-30,73.96380952380953,-0.003352253117146127,22.89,$163,0.1256043956043956
2015-09-30,56.26875,-0.0032260056269046086,21.53,$160,0.13478260869565217
2015-12-31,52.41734375,-0.00017827446312502875,20.88,$153,0.16108695652173913
2016-03-31,50.368524590163936,0.0028862299138455,23.3,$161,0.3597802197802198
2016-06-30,61.563125,0.0005686097042733058,28.42,$157,0.36934065934065935
2016-09-30,60.69984375,0.0002737772049115801,25.88,$165,0.39489130434782604
2016-12-31,67.71777777777778,0.003985861591770101,29.09,$173,0.44815217391304346
2017-03-31,81.75370967741935,0.002005706184957198,26.1,$204,0.698888888888889
2017-06-30,101.31650793650793,0.003948897153759518,26.3,$201,0.9473626373626375
2017-09-30,118.50063492063492,0.003384027010525838,28.85,$207,1.1536956521739128
2017-12-31,142.10866666666666,0.004810511202117311,37.31,$209,1.2027777777777777
