date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,46.101532258064516,0.0011092967382681327,0.0,$595,0.10417582417582417
2012-06-30,47.38061904761904,-0.002148770701123971,33.47,$625,0.1523076923076923
2012-09-30,38.06347619047619,-0.0001990008446626065,17.03,$648,0.14434782608695654
2012-12-31,43.24220967741935,0.0011863613183709456,18.58,$596,0.16119565217391305
2013-03-31,47.70608333333333,0.0024628305937677954,22.43,$621,0.14366666666666666
2013-06-30,58.580796875,0.003184335439000499,15.21,$739,0.11582417582417584
2013-09-30,64.27521875,-7.203003255849133e-05,9.92,$727,0.08521739130434783
2013-12-31,62.11559375,0.0017270377147366872,9.17,$585,0.08554347826086957
2014-03-31,69.6711475409836,0.0015265656835377589,8.76,$661,0.07222222222222222
2014-06-30,81.03487301587302,0.0035531292664375295,9.33,$768,0.09098901098901098
2014-09-30,88.6301875,-0.0012222086140687323,7.03,$761,0.0891304347826087
2014-12-31,81.580453125,-0.0004431577229588937,5.83,$667,0.10130434782608697
2015-03-31,76.99213114754099,-0.0006016204446587473,5.1,$717,0.11288888888888889
2015-06-30,75.47484126984126,-0.0007404520566991603,5.33,$740,0.1256043956043956
2015-09-30,66.838953125,-0.0010457483490255801,6.75,$680,0.13478260869565217
2015-12-31,69.48534375,0.0021302164235443757,10.58,$605,0.16108695652173913
2016-03-31,81.23619672131149,0.002797571104471769,13.96,$692,0.3597802197802198
2016-06-30,85.451796875,-0.00042117135344588337,13.04,$728,0.36934065934065935
2016-09-30,89.0410625,0.001993590421772313,10.12,$791,0.39489130434782604
2016-12-31,87.13484126984127,-0.00013833756372437478,9.63,$688,0.44815217391304346
2017-03-31,93.14240322580645,0.001701851572226096,11.2,$802,0.698888888888889
2017-06-30,114.99269841269842,0.0018291900301889985,9.97,$932,0.9473626373626375
2017-09-30,137.52682539682542,0.005456519317040209,11.65,$920,1.1536956521739128
2017-12-31,150.32466666666667,-0.00014218610928084702,11.65,$920,1.2027777777777777
