date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,24.499596774193545,0.007825702728377413,6.24,"$10,300",0.10417582417582417
2012-06-30,24.522380952380953,-0.0028732917128701406,5.12,"$8,173",0.1523076923076923
2012-09-30,21.57331746031746,0.0029870563291249613,6.13,"$7,899",0.14434782608695654
2012-12-31,25.372596774193546,0.0019705465476620694,7.97,"$8,477",0.16119565217391305
2013-03-31,27.5809,-0.0024142963381190543,8.42,"$10,304",0.14366666666666666
2013-06-30,25.666375,-0.00031555785101932896,8.73,"$7,588",0.11582417582417584
2013-09-30,24.441546875,0.0023947982629345978,9.01,"$9,056",0.08521739130434783
2013-12-31,30.51659375,0.0025588794720990786,8.33,"$10,297",0.08554347826086957
2014-03-31,31.46518032786885,0.0025473255600012186,9.9,"$11,084",0.07222222222222222
2014-06-30,38.251238095238094,0.00171455928262861,8.64,"$10,578",0.09098901098901098
2014-09-30,43.637296875,0.0019972010667588316,9.8,"$9,993",0.0891304347826087
2014-12-31,44.5825625,-0.00030320952271555013,10.18,"$11,322",0.10130434782608697
2015-03-31,47.13826229508197,0.001290934383250633,12.72,"$10,609",0.11288888888888889
2015-06-30,39.82068253968254,-0.004072182554777828,12.22,"$9,673",0.1256043956043956
2015-09-30,27.461046875,-0.006294001752232527,11.96,"$9,443",0.13478260869565217
2015-12-31,29.01796875,0.00444427337757162,11.96,"$9,443",0.16108695652173913
2016-03-31,25.23637704918033,0.0002626760983788096,23.42,"$10,058",0.3597802197802198
2016-06-30,31.300734375,0.0031490622505166016,23.42,"$10,058",0.36934065934065935
2016-09-30,38.807609375,0.0023686361639585693,32.24,"$10,050",0.39489130434782604
2016-12-31,36.873174603174604,-0.002210844784658498,98.26,"$10,213",0.44815217391304346
2017-03-31,36.54758064516129,0.00078001041868974,25.46,"$10,643",0.698888888888889
2017-06-30,34.96380952380953,-0.001106040388047085,20.25,"$9,296",0.9473626373626375
2017-09-30,32.15714285714286,-0.0007069400135243252,15.48,"$10,974",1.1536956521739128
2017-12-31,32.71366666666667,0.001224053729629615,13.12,"$11,522",1.2027777777777777
