date,close,daily_returns,PE Ratio,Revenue_Amount(Millions),Interest Rate(%)
2012-03-31,7.691451612903226,0.0040282260255956924,7.69,$111,0.10417582417582417
2012-06-30,6.625238095238095,-0.0016164751785226023,7.56,$102,0.1523076923076923
2012-09-30,6.160157142857143,-0.0014359143483852063,8.78,$101,0.14434782608695654
2012-12-31,4.801209677419355,-0.002211002251074788,19.64,$90,0.16119565217391305
2013-03-31,5.834083333333334,0.00489705286045816,162.5,$100,0.14366666666666666
2013-06-30,6.00328125,-0.0008710129271981993,0.0,$110,0.11582417582417584
2013-09-30,6.67078125,0.002234903137205509,86.38,$107,0.08521739130434783
2013-12-31,9.00140625,0.006240807823028112,27.86,$126,0.08554347826086957
2014-03-31,12.485081967213116,0.004965166553898738,21.56,$144,0.07222222222222222
2014-06-30,9.556698412698413,-0.005011712535670757,12.4,$133,0.09098901098901098
2014-09-30,9.316953125,2.1878399400061116e-05,18.65,$117,0.0891304347826087
2014-12-31,8.46984375,0.0010024392658955234,24.42,$120,0.10130434782608697
2015-03-31,8.797786885245902,-0.003976974349533561,39.72,$125,0.11288888888888889
2015-06-30,6.462936507936508,-0.001583798588528194,124.6,$118,0.1256043956043956
2015-09-30,6.59875,-0.00030468008009989535,20.5,$123,0.13478260869565217
2015-12-31,5.173125,-0.0014221961079912537,0.0,$103,0.16108695652173913
2016-03-31,5.069672131147541,0.0012655217583637697,0.0,$112,0.3597802197802198
2016-06-30,5.519453125,0.001216404904570102,0.0,$130,0.36934065934065935
2016-09-30,6.5634375,0.00432766220230916,0.0,$146,0.39489130434782604
2016-12-31,9.083809523809524,0.004581276186284524,32.33,$175,0.44815217391304346
2017-03-31,13.272499999999999,0.009396516825152289,20.57,$205,0.698888888888889
2017-06-30,20.123492063492062,0.0023314735747530938,13.49,$228,0.9473626373626375
2017-09-30,23.636984126984125,0.00835648065543062,16.29,$243,1.1536956521739128
2017-12-31,29.169333333333334,-0.007678258693929437,10.59,$249,1.2027777777777777
