Ticker,Company_Name
AMTX,"Aemetis, Inc"
ARLP,"Alliance Resource Partners, L.P"
ALTM,Altus Midstream Company
AMPY,Amplify Energy Corp
AM,Antero Midstream Corporation
AR,Antero Resources Corporation
APA,Apache Corporation
ARCH,"Arch Coal, Inc"
AROC,"Archrock, Inc"
BRN,"Barnwell Industries, Inc"
BRY,Berry Petroleum Corporation
BSM,"Black Stone Minerals, L.P"
BKEP,"Blueknight Energy Partners, L.P"
BORR,Borr Drilling Limited
BPMP,BP Midstream Partners LP
BPT,BP Prudhoe Bay Royalty Trust
MNRL,"Brigham Minerals, Inc"
VTOL,Bristow Group Inc
CLMT,"Calumet Specialty Products Partners, L.P"
CEI,"Camber Energy, Inc"
CCJ,Cameco Corporation
CNQ,Canadian Natural Resources Limited
CVE,Cenovus Energy Inc
CDEV,"Centennial Resource Development, Inc"
LEU,Centrus Energy Corp
CHX,ChampionX Corporation
LNG,"Cheniere Energy, Inc"
CHK,Chesapeake Energy Corporation
CVX,Chevron Corporation
SNP,China Petroleum & Chemical Corporation
CLNE,Clean Energy Fuels Corp
CNX,CNX Resources Corporation
CEIX,CONSOL Energy Inc
CLR,"Continental Resources, Inc"
CTRA,"Contura Energy, Inc"
CLB,Core Laboratories N.V
CSAN,Cosan S.A - ADR
CRGY,Crescent Energy Company - Class A
CEQP,Crestwood Equity Partners LP
CAPL,CrossAmerica Partners LP
CCLP,CSI Compressco LP
CVI,"CVR Energy, Inc"
DWSN,Dawson Geophysical Company
DKL,"Delek Logistics Partners, LP"
DK,"Delek US Holdings, Inc"
DEN,Denbury Inc.
DNN,Denison Mines Corp
DVN,Devon Energy Corporation
DHT,"DHT Holdings, Inc"
DMLP,"Dorchester Minerals, L.P"
DTM,DT Midstream Inc
ESTE,"Earthstone Energy, Inc"
ZEST,Ecoark Holdings Inc
ENB,Enbridge Inc
ET,Energy Transfer LP
ERF,Enerplus Corporation
ENLC,"EnLink Midstream, LLC"
EQT,EQT Corporation
XPRO,Expro Group Holdings N.V.
EXTN,Exterran Corporation
XOM,Exxon Mobil Corporation
FTK,"Flotek Industries, Inc"
FET,"Forum Energy Technologies, Inc"
GLOP,GasLog Partners LP
GPRK,GeoPark Limited
GEOS,Geospace Technologies Corporation
GLP,Global Partners LP
GLNG,Golar LNG Limited
GTE,Gran Tierra Energy Inc
GPP,Green Plains Partners LP
GPOR,Gulfport Energy Corporation
HNRG,Hallador Energy Company
HLX,"Helix Energy Solutions Group, Inc"
HP,"Helmerich & Payne, Inc"
HES,Hess Corporation
HESM,Hess Midstream Partners LP
HMLP,Hoegh LNG Partners LP
HEP,"Holly Energy Partners, L.P"
HFC,HollyFrontier Corporation
IMO,Imperial Oil Limited
ICD,"Independence Contract Drilling, Inc"
INDO,Indonesia Energy Corporation Limited
INSW,"International Seaways, Inc"
IO,ION Geophysical Corporation
KRP,"Kimbell Royalty Partners, LP"
KMI,"Kinder Morgan, Inc"
KLXE,"KLX Energy Services Holdings, Inc"
KOS,Kosmos Energy Ltd
LBRT,Liberty Oilfield Services Inc
MRO,Marathon Oil Corporation
MPC,Marathon Petroleum Corporation
MARPS,Marine Petroleum Trust
MTDR,Matador Resources Company
MTR,Mesa Royalty Trust
MPLX,MPLX LP
MRC,MRC Global Inc
MUR,Murphy Oil Corporation
NBR,Nabors Industries Ltd
NC,"NACCO Industries, Inc"
NFG,National Fuel Gas Company
NGS,"Natural Gas Services Group, Inc"
NRP,Natural Resource Partners L.P
NEXT,NextDecade Corporation
NGL,NGL Energy Partners LP
NINE,"Nine Energy Service, Inc"
NE,Noble Corporation plc
DNOW,NOW Inc
NS,NuStar Energy L.P
OMP,Oasis Midstream Partners LP
OXY,Occidental Petroleum Corporation
OII,"Oceaneering International, Inc"
OIS,"Oil States International, Inc"
OKE,"ONEOK, Inc"
OSG,"Overseas Shipholding Group, Inc"
OVV,Ovintiv Inc
PHX,Panhandle Oil and Gas Inc
PARR,"Par Pacific Holdings, Inc"
PBF,PBF Energy Inc
PBFX,PBF Logistics LP
PDCE,"PDC Energy, Inc"
PED,PEDEVCO Corp
PBT,Permian Basin Royalty Trust
PTR,PetroChina Company Limited
PBR.A,Petroleo Brasileiro S.A. - Petrobras
PBR,Petroleo Brasileiro S.A. - Petrobras
PAA,"Plains All American Pipeline, L.P"
PAGP,"Plains GP Holdings, L.P"
PDS,Precision Drilling Corporation
RNGR,"Ranger Energy Services, Inc"
RRC,Range Resources Corporation
RCON,"Recon Technology, Ltd"
REGI,"Renewable Energy Group, Inc"
REPX,Riley Exploration Permian Inc.
REI,"Ring Energy, Inc"
ROCC,Roth CH Acquisition II Co
RES,"RPC, Inc"
SBR,Sabine Royalty Trust
SD,"SandRidge Energy, Inc"
SJT,San Juan Basin Royalty Trust
SLB,Schlumberger Limited
SBOW,"SilverBow Resources, Inc"
SHI,Sinopec Shanghai Petrochemical Company Limited
SM,SM Energy Company
SWN,Southwestern Energy Company
SRLP,Sprague Resources LP
SMLP,"Summit Midstream Partners, LP"
SUN,Sunoco LP
SDPI,"Superior Drilling Products, Inc"
TALO,Talos Energy Inc
TRGP,Targa Resources Corp
TH,Target Hospitality Corp
TRP,TC Energy Corporation
FTI,TechnipFMC plc
TNK,Teekay Tankers Ltd
TELL,Tellurian Inc
TS,Tenaris S.A
TTI,"TETRA Technologies, Inc"
TPL,Texas Pacific Land Trust
TDW,Tidewater Inc
TRMD,TORM plc
TTE,TotalEnergies SE - ADR
TGA,TransGlobe Energy Corporation
TGS,Transportadora de Gas del Sur S.A
TNP,Tsakos Energy Navigation Limited
BROG,Twelve Seas Investment Company
UEC,Uranium Energy Corp
URG,Ur-Energy Inc
USAC,"USA Compression Partners, LP"
USEG,U.S. Energy Corp
SLCA,"U.S. Silica Holdings, Inc"
USWS,"U.S. Well Services, Inc"
VLO,Valero Energy Corporation
VVV,Valvoline Inc
VTNR,"Vertex Energy, Inc"
VIST,"Vista Oil & Gas, S.A.B. de C.V"
WFRD,Weatherford International plc - New
INT,World Fuel Services Corporation
YPF,YPF Sociedad Anónima
