Ticker,Company_Name
AAON,"AAON, Inc"
AIR,AAR Corp
ABB,ABB Ltd
ABM,ABM Industries Incorporated
ACTG,Acacia Research Corporation
ACCO,ACCO Brands Corporation
EPAC,Actuant Corporation Class A
AYI,"Acuity Brands, Inc"
ADT,ADT Inc
WMS,"Advanced Drainage Systems, Inc"
AENZ,Aenza S.A.A. Sponsored ADR
AJRD,"Aerojet Rocketdyne Holdings, Inc"
ASLE,AerSale Corp
UAVS,"AgEagle Aerial Systems, Inc"
AGFY,Agrify Corp
AIRI,Air Industries Group
AL,Air Lease Corporation
ALG,Alamo Group Inc
ALK,"Alaska Air Group, Inc"
ALJJ,"ALJ Regional Holdings, Inc"
ALGT,Allegiant Travel Company
ALLE,Allegion plc
APT,"Alpha Pro Tech, Ltd"
ALPP,Alpine 4 Holdings Inc - Class A
ALTG,Alta Equipment Group Inc.
AIMC,Altra Industrial Motion Corp
UHAL,AMERCO
AMRC,"Ameresco, Inc"
AMSC,American Superconductor Corporation
AP,Ampco-Pittsburgh Corporation
AOS,A. O. Smith Corporation
APG,APi Group Corporation
APOG,"Apogee Enterprises, Inc"
AIT,"Applied Industrial Technologies, Inc"
AQMS,"Aqua Metals, Inc"
ARCB,ArcBest Corporation
ARC,"ARC Document Solutions, Inc"
ACHR,Archer Aviation Inc - Class A
AGX,"Argan, Inc"
ARLO,"Arlo Technologies, Inc"
AFI,"Armstrong Flooring, Inc"
AWI,"Armstrong World Industries, Inc"
ASPN,"Aspen Aerogels, Inc"
ASTE,"Astec Industries, Inc"
ASTR,Astra Space Inc - Class A
ASTC,Astrotech Corporation
AAWW,"Atlas Air Worldwide Holdings, Inc"
ATCX,Atlas Technical Consultants Inc. Class A
CAR,"Avis Budget Group, Inc"
AXON,Axon Enterprise Inc
AZEK,AZEK Company Inc Class A
AZUL,Azul S.A
AZZ,AZZ Inc
BW,"Babcock & Wilcox Enterprises, Inc"
BMI,"Badger Meter, Inc"
BLDP,Ballard Power Systems Inc
B,Barnes Group Inc
BBSI,"Barrett Business Services, Inc"
BGRY,Berkshire Grey Inc - Class A
BEST,BEST Inc
BKYI,"BIO-key International, Inc"
BRDS,Bird Global Inc - Class A
BLNK,Blink Charging Co
BAH,Booz Allen Hamilton Holding Corporation
BRC,Brady Corporation
BBU,Brookfield Business Partners L.P
BLDR,"Builders FirstSource, Inc"
CSTE,Caesarstone Ltd
CNI,Canadian National Railway Company
CPLP,Capital Product Partners L.P
CGRN,Capstone Green Energy Corp.
CWST,"Casella Waste Systems, Inc"
CASS,"Cass Information Systems, Inc"
CTRM,Castor Maritime Inc
CAT,Caterpillar Inc
CBAT,"CBAK Energy Technology, Inc"
CBZ,"CBIZ, Inc"
CECE,CECO Environmental Corp
CHRA,"Charah Solutions, Inc"
CYD,China Yuchai International Limited
CHRW,"C.H. Robinson Worldwide, Inc"
CVEO,Civeo Corporation
CLH,"Clean Harbors, Inc"
CNHI,CNH Industrial N.V
CODA,"Coda Octopus Group, Inc"
CFX,Colfax Corporation
CMCO,Columbus McKinnon Corporation
FIX,"Comfort Systems USA, Inc"
CODI,Compass Diversified Holdings LLC
BBCP,"Concrete Pumping Holdings, Inc"
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V"
